Mouse,F,0.02,10,Clair,-1999,,,,,
Wister,Rat,(N=20),F,0.2,9.5,Chang,-2000,,,
Rat,F,0.2,17,Clair,-1999,,,,,
Sprague-Dawley,Rat,(N=61),F,0.3,20,Kamo,-2004,,,
Dunkin,Hartley,Guinea,Pig,M,0.4,20,Vogel,-2007,,
Normal,Adult,Cat,F,2.3,49.4,Johnston,-1985,,,
Normal,Adult,Cat,F,2.3,50,Johnston,-1985,,,
Normal,Adult,Cat,F,2.7,66.7,Johnston,-1985,,,
Normal,Adult,Cat,F,2.7,54.2,Johnston,-1985,,,
Normal,Adult,Cat,F,3.2,68.3,Johnston,-1985,,,
Normal,Adult,Cat,F,3.6,65.6,Johnston,-1985,,,
Normal,Adult,Cat,M,3.6,116.6,Johnston,-1985,,,
Normal,Adult,Cat,M,4.1,107.8,Johnston,-1985,,,
Normal,Adult,Cat,M,4.1,99.4,Johnston,-1985,,,
Normal,Adult,Cat,M,4.6,108.3,Johnston,-1985,,,
Normal,Adult,Cat,M,4.6,118.6,Johnston,-1985,,,
Normal,Adult,Cat,M,4.6,113.8,Johnston,-1985,,,
Normal,Adult,Dog,F,6.8,57.3,Johnston,-1985,,,
Normal,Adult,Dog,F,8.2,56.5,Johnston,-1985,,,
Normal,Adult,Dog,F,9.1,84.8,Johnston,-1985,,,
Normal,Adult,Dog,F,10.5,96,Johnston,-1985,,,
Normal,Adult,Dog,F,12.3,94,Johnston,-1985,,,
Mongrel,Dog,(N=10),F,12.5,55,Takeda,-1995,,,
Normal,Adult,Dog,F,12.7,57.8,Johnston,-1985,,,
Normal,Adult,Dog,F,15.9,86.5,Johnston,-1985,,,
Normal,Adult,Dog,F,19.1,77.5,Johnston,-1985,,,
Woman,F,74,40,Prasad,"(2005),",Ogden,-2004,,,
Man,(N=109),M,92,223,Kohler,-2008,,,,
African,Lion,(N=7),M,200,300,Lueders,"(2012),",Nowak,-1999,
African,Elephant,(5,years),F,803.8,680,Balke,"(1988),",Krumrey,-1968
African,Elephant,(5,years),F,803.8,800,Balke,"(1988),",Krumrey,-1968
African,Elephant,(6,years),F,933.1,840,Balke,"(1988),",Krumrey,-1968
African,Elephant,(6,years),F,933.1,760,Balke,"(1988),",Krumrey,-1968
African,Elephant,(6,years),F,933.1,680,Balke,"(1988),",Krumrey,-1968
African,Elephant,(7,years),F,1058.6,820,Balke,"(1988),",Krumrey,-1968
African,Elephant,(9,years),F,1300.3,980,Balke,"(1988),",Krumrey,-1968
African,Elephant,(9,years),F,1300.3,800,Balke,"(1988),",Krumrey,-1968
African,Elephant,(9,years),F,1300.3,940,Balke,"(1988),",Krumrey,-1968
African,Elephant,(10,years),F,1417.4,880,Balke,"(1988),",Krumrey,-1968
African,Elephant,(10,years),F,1417.4,1180,Balke,"(1988),",Krumrey,-1968
African,Elephant,(10,years),F,1417.4,880,Balke,"(1988),",Krumrey,-1968
African,Elephant,(11,years),F,1532.4,860,Balke,"(1988),",Krumrey,-1968
African,Elephant,(14,years),F,1866.7,830,Balke,"(1988),",Krumrey,-1968
Elephant,F,2700,1200,Hildebrandt,"(2000),",Nowak,-1999,,,
African,Elephant,(23,years),F,2802.4,900,Balke,"(1988),",Krumrey,-1968
African,Elephant,(25,years),F,3000.3,1100,Balke,"(1988),",Krumrey,-1968
Elephant,M,5400,1000,Fowler,"(2006),",Nowak,-1999,,,
